record_id,source_doi,catalyst_composition,metal_elements,primary_metal,is_noble_metal,is_hybrid,carbon_present,support_substrate,electrolyte_type,electrolyte_composition,pH,temperature_C,ir_compensation,potential_vs_RHE,overpotential_eta10_mV,tafel_slope_mV_dec,stability_value,notes,extraction_source
10.1038/s41597-019-0080-z_Cu9Tc3,10.1038/s41597-019-0080-z,Cu9Tc3,"['Cu', 'Tc']",Cu,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDMwMjM0, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.26434/chemrxiv.7438889.v1_Pt29Sn,10.26434/chemrxiv.7438889.v1,Pt29Sn,"['Pt', 'Sn']",Pt,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246MzM4NTkw, equation: -2.0H2O(g) + 2.0CO(g) + 5.0H2(g) + 2.0* -> 2.0CH3*",web
nan_Rh16,,Rh16,['Rh'],Rh,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246Mjc2Mjk=, equation: 3.0CH4(g) + H2O(g) - 2.0H2(g) + * -> 3.0CH3* + HO*",web
nan_Rh16_1173,,Rh16,['Rh'],Rh,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246Mjc2MzA=, equation: CH4(g) + 2.0H2O(g) - 1.5H2(g) + * -> CH3* + 2.0HO*",web
nan_Ir16,,Ir16,['Ir'],Ir,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246MzIwODM=, equation: 3.0CH4(g) + H2O(g) - 6.5H2(g) + * -> HO* + 3.0C*",web
nan_Rh16_1175,,Rh16,['Rh'],Rh,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246Mjc2MzI=, equation: CH4(g) + H2O(g) - H2(g) + * -> CH3* + HO*",web
10.1126/science.aaf5050_Ir16Sr16O51,10.1126/science.aaf5050,Ir16Sr16O51,"['Ir', 'Sr']",-,True,True,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDA2OQ==, equation: H2O(g) + * -> OH* + 0.5H2(g)",web
nan_Ir16_1177,,Ir16,['Ir'],Ir,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246MzIwODg=, equation: CH4(g) + H2O(g) - 2.5H2(g) + * -> HO* + C*",web
nan_Pd16,,Pd16,['Pd'],Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246Mjc2Mzg=, equation: CH4(g) + H2O(g) - H2(g) + * -> CH3* + HO*",web
10.1126/science.aaf5050_Ir16Sr8O51,10.1126/science.aaf5050,Ir16Sr8O51,"['Ir', 'Sr']",Ir,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDA2OA==, equation: H2O(g) + * -> OH* + 0.5H2(g)",web
