record_id,source_doi,catalyst_composition,metal_elements,primary_metal,is_noble_metal,is_hybrid,carbon_present,support_substrate,electrolyte_type,electrolyte_composition,pH,temperature_C,ir_compensation,potential_vs_RHE,overpotential_eta10_mV,tafel_slope_mV_dec,stability_value,notes,extraction_source
10.1021/cs3003098_Ru bulk metal,10.1021/cs3003098,Ru bulk metal,['Ru'],Ru,True,False,False,glassy carbon,acidic,0.1 M HClO4,1.0,25.0,95%,1.449,,44.0,,"potential at 0.5 mA/mol active sites, not eta10",pdf
10.1021/cs3003098_Ru nanoparticles on Vulcan XC 72R,10.1021/cs3003098,Ru nanoparticles on Vulcan XC 72R,['Ru'],Ru,True,False,True,glassy carbon,acidic,0.1 M HClO4,1.0,25.0,95%,1.504,,,,"potential at 0.5 mA/mol active sites, not eta10",pdf
10.1021/cs3003098_Ir bulk metal,10.1021/cs3003098,Ir bulk metal,['Ir'],Ir,True,False,False,glassy carbon,acidic,0.1 M HClO4,1.0,25.0,95%,1.551,,63.0,,"potential at 0.5 mA/mol active sites, not eta10",pdf
10.1021/cs3003098_Ir nanoparticles on Vulcan XC 72R,10.1021/cs3003098,Ir nanoparticles on Vulcan XC 72R,['Ir'],Ir,True,False,True,glassy carbon,acidic,0.1 M HClO4,1.0,25.0,95%,1.563,,64.0,,"potential at 0.5 mA/mol active sites, not eta10",pdf
10.1021/cs3003098_Pt bulk metal,10.1021/cs3003098,Pt bulk metal,['Pt'],Pt,True,False,False,glassy carbon,acidic,0.1 M HClO4,1.0,25.0,95%,1.766,,145.0,,"potential at 0.5 mA/mol active sites, not eta10",pdf
10.1021/cs3003098_Pt nanoparticles on Vulcan XC 72R,10.1021/cs3003098,Pt nanoparticles on Vulcan XC 72R,['Pt'],Pt,True,False,True,glassy carbon,acidic,0.1 M HClO4,1.0,25.0,95%,1.87,,210.0,,"potential at 0.5 mA/mol active sites, not eta10",pdf
10.1021/ja510442p_Ru-(a),10.1021/ja510442p,Ru-(a),['Ru'],Ru,True,False,False,glassy carbon,acidic,1 M H2SO4,0.3,25.0,85%,True,280.0,,60.0,η at 24h = 820 mV; RF = 71.0,pdf
10.1021/ja510442p_Ir,10.1021/ja510442p,Ir,['Ir'],Ir,True,False,False,glassy carbon,acidic,1 M H2SO4,0.3,25.0,85%,True,340.0,,19.99999999999996,η at 24h = 440 mV; RF = 160.0,pdf
10.1021/ja510442p_Co-(b),10.1021/ja510442p,Co-(b),['Co'],Co,False,False,False,glassy carbon,alkaline,1 M NaOH,14.0,25.0,85%,True,410.0,,-9.999999999999954,η at 24h = 810 mV; RF = 11.0,pdf
10.1021/ja510442p_CoFe,10.1021/ja510442p,CoFe,"['Fe', 'Co']",Fe,False,False,False,glassy carbon,alkaline,1 M NaOH,14.0,25.0,85%,True,350.0,,10.000000000000009,η at 24h = 360 mV; RF = 10.0,pdf
10.1021/ja510442p_Ni-(b),10.1021/ja510442p,Ni-(b),['Ni'],Ni,False,False,False,glassy carbon,alkaline,1 M NaOH,14.0,25.0,85%,True,470.0,,0.0,η at 24h = 1230 mV; RF = 2.0,pdf
10.1021/ja510442p_NiCo-(b),10.1021/ja510442p,NiCo-(b),"['Ni', 'Co']",Ni,False,False,False,glassy carbon,alkaline,1 M NaOH,14.0,25.0,85%,True,420.0,,0.0,η at 24h = 1170 mV; RF = 3.0,pdf
10.1021/ja510442p_NiCo-(c),10.1021/ja510442p,NiCo-(c),"['Ni', 'Co']",Ni,False,False,False,glassy carbon,alkaline,1 M NaOH,14.0,25.0,85%,True,380.0,,-30.00000000000003,η at 24h = 340 mV; RF = 9.0,pdf
10.1021/ja510442p_NiCr,10.1021/ja510442p,NiCr,['Ni'],Ni,False,False,False,glassy carbon,alkaline,1 M NaOH,14.0,25.0,85%,True,390.0,,0.0,η at 24h = 790 mV; RF = 9.0,pdf
10.1021/ja510442p_NiFe-(b),10.1021/ja510442p,NiFe-(b),"['Ni', 'Fe']",Ni,False,False,False,glassy carbon,alkaline,1 M NaOH,14.0,25.0,85%,True,340.0,,29.99999999999997,η at 24h = 370 mV; RF = 4.0,pdf
10.1021/ja510442p_NiMoFe-(b),10.1021/ja510442p,NiMoFe-(b),"['Ni', 'Fe']",Ni,False,False,False,glassy carbon,alkaline,1 M NaOH,14.0,25.0,85%,True,340.0,,-10.000000000000009,η at 24h = 320 mV; RF = 9.0,pdf
10.1021/ja510442p_NiZn-(b),10.1021/ja510442p,NiZn-(b),"['Ni', 'Zn']",Ni,False,False,False,glassy carbon,alkaline,1 M NaOH,14.0,25.0,85%,True,360.0,,-10.000000000000009,η at 24h = 340 mV; RF = 200.0,pdf
10.1021/ja510442p_Ru-(a)_17,10.1021/ja510442p,Ru-(a),['Ru'],Ru,True,False,False,glassy carbon,alkaline,1 M NaOH,14.0,25.0,85%,True,290.0,,30.00000000000003,η at 24h = 360 mV; RF = 70.0,pdf
10.1021/ja510442p_m,10.1021/ja510442p,m,[],,False,False,False,glassy carbon,alkaline,1 M NaOH,14.0,25.0,85%,True,2000.0,,0.0,η at 24h = 0 mV; RF = 0.0,pdf
10.1021/ja510442p_M,10.1021/ja510442p,M,[],,False,False,False,glassy carbon,alkaline,1 M NaOH,14.0,25.0,85%,True,1000.0,,8000.0,η at 24h = 9000 mV; RF = 2.0,pdf
10.1021/ja510442p_C,10.1021/ja510442p,C,[],,False,False,False,glassy carbon,alkaline,1 M NaOH,14.0,25.0,85%,True,6000.0,,-4000.0,η at 24h = 0 mV; RF = 1.0,pdf
10.1126/science.aaf5050_IrOx/SrIrO3,10.1126/science.aaf5050,IrOx/SrIrO3,"['Ir', 'Sr']",Ir,True,False,False,Ti foil,acidic,0.5 M H2SO4,0.3,25.0,100%,True,270.0,40.0,10.0,Values from abstract and main text; SI may provide more precise numbers.,pdf
10.1038/s41597-019-0080-z_Pd9Rh3,10.1038/s41597-019-0080-z,Pd9Rh3,"['Pd', 'Rh']",Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDI5MDkx, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1021/acscatal.3c01249_Ti18N12,10.1021/acscatal.3c01249,Ti18N12,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ2OTk0, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Ti18N12_24,10.1021/acscatal.3c01249,Ti18N12,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDA0, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Ti24N16,10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDA2, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Ti24N16_26,10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDA4, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Ti24N16_27,10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDA5, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1038/s41597-019-0080-z_Pd9Rh3_28,10.1038/s41597-019-0080-z,Pd9Rh3,"['Pd', 'Rh']",Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDI5MDky, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1038/s41597-019-0080-z_Pd12,10.1038/s41597-019-0080-z,Pd12,['Pd'],Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246MzM5MjIz, equation: H2O(g) + * -> H2O*",web
10.1038/s41597-019-0080-z_Sn12,10.1038/s41597-019-0080-z,Sn12,['Sn'],Sn,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246MzM5NzQy, equation: H2O(g) + * -> H2O*",web
10.1038/s41597-019-0080-z_Pd9Rh3_31,10.1038/s41597-019-0080-z,Pd9Rh3,"['Pd', 'Rh']",Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDI5MDkz, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1021/acscatal.3c01249_Ti24N16_32,10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDEx, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Ti24N16_33,10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDEy, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Ti24N16_34,10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDEz, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Ti24N16_35,10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDE1, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Ti24N16_36,10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDE5, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Ti24N16_37,10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDIx, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Ti24N16_38,10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDIy, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Ti24N16_39,10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDI1, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Ti24N16_40,10.1021/acscatal.3c01249,Ti24N16,['Ti'],Ti,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDI3, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1038/s41597-019-0080-z_Pd12_41,10.1038/s41597-019-0080-z,Pd12,['Pd'],Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246MzM5MjI0, equation: H2O(g) + * -> H2O*",web
10.1021/acscatal.3c01249_Sc16N16,10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDI5, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Sc16N16_43,10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDMw, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1038/s41597-019-0080-z_Pd9Rh3_44,10.1038/s41597-019-0080-z,Pd9Rh3,"['Pd', 'Rh']",Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDI5MDk0, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1038/s41597-019-0080-z_Pd9Rh3_45,10.1038/s41597-019-0080-z,Pd9Rh3,"['Pd', 'Rh']",Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDI5MDk1, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1021/acscatal.3c01249_Sc16N16_46,10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDMy, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Sc16N16_47,10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDMz, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Sc16N16_48,10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDM0, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Sc16N16_49,10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDM4, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Sc16N16_50,10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDM5, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Sc16N16_51,10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDQz, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Sc16N16_52,10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDQ1, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Sc16N16_53,10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDQ4, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Sc16N16_54,10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDQ5, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Sc16N16_55,10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDUw, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Sc16N16_56,10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDUy, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Sc16N16_57,10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDU0, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1038/s41597-019-0080-z_Pd9Rh3_58,10.1038/s41597-019-0080-z,Pd9Rh3,"['Pd', 'Rh']",Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDI5MDk2, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1038/s41597-019-0080-z_Pd9Ru3,10.1038/s41597-019-0080-z,Pd9Ru3,"['Pd', 'Ru']",Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDI5MDk3, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1021/acscatal.3c01249_Sc16N16_60,10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDU2, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Sc16N16_61,10.1021/acscatal.3c01249,Sc16N16,['Sc'],Sc,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDU3, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Nb16N20,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDY1, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Nb16N20_63,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDY2, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Nb16N20_64,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDY3, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Nb16N20_65,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDY4, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Nb16N20_66,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDY5, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Nb16N20_67,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDcw, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Nb16N20_68,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDc0, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1038/s41597-019-0080-z_Pd9Ru3_69,10.1038/s41597-019-0080-z,Pd9Ru3,"['Pd', 'Ru']",Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDI5MDk4, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1021/acscatal.3c01249_Nb16N20_70,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDc1, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Nb16N20_71,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDc3, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Nb16N20_72,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDc4, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Nb16N20_73,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDc5, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Nb16N20_74,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDgw, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Nb16N20_75,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDgx, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Nb16N20_76,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDgy, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Nb16N20_77,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDg0, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Nb16N20_78,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDg5, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1038/s41597-019-0080-z_Pd12_79,10.1038/s41597-019-0080-z,Pd12,['Pd'],Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246MzM5MjI1, equation: H2O(g) + * -> H2O*",web
10.1021/acscatal.3c01249_Nb16N20_80,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDkz, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1038/s41597-019-0080-z_Pd9Ru3_81,10.1038/s41597-019-0080-z,Pd9Ru3,"['Pd', 'Ru']",Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDI5MDk5, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1021/acscatal.3c01249_Nb16N20_82,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MDk3, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Nb16N20_83,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MTAw, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Nb16N20_84,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MTAx, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Nb16N20_85,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MTA0, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Nb16N20_86,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MTA1, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Nb16N20_87,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MTA4, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Nb16N20_88,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MTEw, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Nb16N20_89,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MTEy, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Nb16N20_90,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MTEz, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Nb16N20_91,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MTE1, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Nb16N20_92,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MTE2, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1038/s41597-019-0080-z_Pd9Ru3_93,10.1038/s41597-019-0080-z,Pd9Ru3,"['Pd', 'Ru']",Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDI5MTAw, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
10.1021/acscatal.3c01249_Nb16N20_94,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MTE4, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Nb16N20_95,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MTIz, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Nb16N20_96,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MTI1, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Nb16N20_97,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MTI2, equation: -1.0H2O(g) + CO(g) + H2(g) + * -> CHO*",web
10.1021/acscatal.3c01249_Nb16N20_98,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MTI3, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Nb16N20_99,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MTI4, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Nb16N20_100,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MTMx, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Nb16N20_101,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MTMz, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Nb16N20_102,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MTM0, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1021/acscatal.3c01249_Nb16N20_103,10.1021/acscatal.3c01249,Nb16N20,['Nb'],Nb,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ3MTM5, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
10.1038/s41597-019-0080-z_Pd9Ru3_104,10.1038/s41597-019-0080-z,Pd9Ru3,"['Pd', 'Ru']",Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDI5MTAx, equation: H2O(g) - 0.5H2(g) + * -> OH*",web
